Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sun Jan 24 2021,7:00p,Charlotte Hornets,107,Orlando Magic,104,Box Score,,3507,2:09,Amway Center,
Sun Jan 24 2021,8:00p,Atlanta Hawks,115,Milwaukee Bucks,129,Box Score,,0,2:11,Fiserv Forum,
Sun Jan 24 2021,8:00p,Washington Wizards,101,San Antonio Spurs,121,Box Score,,0,1:59,AT&T Center,
Sun Jan 24 2021,10:00p,New York Knicks,113,Portland Trail Blazers,116,Box Score,,0,2:20,Moda Center,
Mon Jan 25 2021,7:00p,Philadelphia 76ers,104,Detroit Pistons,119,Box Score,,0,2:20,Little Caesars Arena,
Mon Jan 25 2021,7:00p,Toronto Raptors,114,Indiana Pacers,129,Box Score,,0,2:27,Bankers Life Fieldhouse,
Mon Jan 25 2021,7:00p,Charlotte Hornets,108,Orlando Magic,117,Box Score,,3167,2:14,Amway Center,
Mon Jan 25 2021,7:30p,Miami Heat,85,Brooklyn Nets,98,Box Score,,0,2:08,Barclays Center,
Mon Jan 25 2021,8:00p,Los Angeles Lakers,115,Cleveland Cavaliers,108,Box Score,,0,2:22,Rocket Mortgage Fieldhouse,
Mon Jan 25 2021,8:30p,Denver Nuggets,117,Dallas Mavericks,113,Box Score,,0,2:20,American Airlines Center,
Mon Jan 25 2021,9:00p,Boston Celtics,119,Chicago Bulls,103,Box Score,,0,2:03,United Center,
Mon Jan 25 2021,10:00p,Minnesota Timberwolves,108,Golden State Warriors,130,Box Score,,0,2:20,Chase Center,
Mon Jan 25 2021,10:00p,Oklahoma City Thunder,125,Portland Trail Blazers,122,Box Score,,0,2:17,Moda Center,
Tue Jan 26 2021,7:30p,Los Angeles Clippers,99,Atlanta Hawks,108,Box Score,,1180,2:11,State Farm Arena,
Tue Jan 26 2021,8:00p,Washington Wizards,88,Houston Rockets,107,Box Score,,2996,2:13,Toyota Center,
Tue Jan 26 2021,9:00p,New York Knicks,94,Utah Jazz,108,Box Score,,1932,2:10,Vivint Smart Home Arena,
Wed Jan 27 2021,7:00p,Indiana Pacers,116,Charlotte Hornets,106,Box Score,,0,2:04,Spectrum Center,
Wed Jan 27 2021,7:00p,Detroit Pistons,107,Cleveland Cavaliers,122,Box Score,,1944,2:11,Rocket Mortgage Fieldhouse,
Wed Jan 27 2021,7:00p,Sacramento Kings,121,Orlando Magic,107,Box Score,,3216,2:10,Amway Center,
Wed Jan 27 2021,7:30p,Brooklyn Nets,132,Atlanta Hawks,128,Box Score,OT,1008,2:33,State Farm Arena,
Wed Jan 27 2021,7:30p,Denver Nuggets,109,Miami Heat,82,Box Score,,0,2:02,AmericanAirlines Arena,
Wed Jan 27 2021,7:30p,Los Angeles Lakers,106,Philadelphia 76ers,107,Box Score,,0,2:37,Wells Fargo Center,
Wed Jan 27 2021,7:30p,Milwaukee Bucks,115,Toronto Raptors,108,Box Score,,0,2:17,Amalie Arena,
Wed Jan 27 2021,8:30p,Boston Celtics,106,San Antonio Spurs,110,Box Score,,0,2:10,AT&T Center,
Wed Jan 27 2021,9:00p,Washington Wizards,106,New Orleans Pelicans,124,Box Score,,750,2:10,Smoothie King Center,
Wed Jan 27 2021,9:00p,Oklahoma City Thunder,102,Phoenix Suns,97,Box Score,,0,2:01,Phoenix Suns Arena,
Wed Jan 27 2021,9:00p,Dallas Mavericks,104,Utah Jazz,116,Box Score,,0,2:05,Vivint Smart Home Arena,
Wed Jan 27 2021,10:00p,Minnesota Timberwolves,111,Golden State Warriors,123,Box Score,,0,2:26,Chase Center,
Thu Jan 28 2021,7:30p,Portland Trail Blazers,101,Houston Rockets,104,Box Score,,3154,2:13,Toyota Center,
Thu Jan 28 2021,8:00p,Los Angeles Lakers,92,Detroit Pistons,107,Box Score,,0,2:13,Little Caesars Arena,
Thu Jan 28 2021,8:00p,Los Angeles Clippers,109,Miami Heat,105,Box Score,,0,2:14,AmericanAirlines Arena,
Thu Jan 28 2021,10:00p,Golden State Warriors,93,Phoenix Suns,114,Box Score,,0,2:05,Phoenix Suns Arena,
Fri Jan 29 2021,7:00p,Indiana Pacers,105,Charlotte Hornets,108,Box Score,,0,2:04,Spectrum Center,
Fri Jan 29 2021,7:00p,Atlanta Hawks,116,Washington Wizards,100,Box Score,,0,2:19,Capital One Arena,
Fri Jan 29 2021,7:30p,Milwaukee Bucks,126,New Orleans Pelicans,131,Box Score,,1440,2:19,Smoothie King Center,
Fri Jan 29 2021,7:30p,Cleveland Cavaliers,81,New York Knicks,102,Box Score,,0,2:06,Madison Square Garden (IV),
Fri Jan 29 2021,7:30p,Sacramento Kings,126,Toronto Raptors,124,Box Score,,0,2:30,Amalie Arena,
Fri Jan 29 2021,8:00p,Philadelphia 76ers,118,Minnesota Timberwolves,94,Box Score,,0,2:13,Target Center,
Fri Jan 29 2021,8:00p,Brooklyn Nets,147,Oklahoma City Thunder,125,Box Score,,0,2:07,Chesapeake Energy Arena,
Fri Jan 29 2021,8:00p,Los Angeles Clippers,116,Orlando Magic,90,Box Score,,3763,2:02,Amway Center,
Fri Jan 29 2021,8:30p,Denver Nuggets,109,San Antonio Spurs,119,Box Score,,0,2:09,AT&T Center,
Fri Jan 29 2021,10:00p,Dallas Mavericks,101,Utah Jazz,120,Box Score,,1932,2:25,Vivint Smart Home Arena,
Sat Jan 30 2021,8:00p,Portland Trail Blazers,123,Chicago Bulls,122,Box Score,,0,2:06,United Center,
Sat Jan 30 2021,8:00p,Milwaukee Bucks,114,Charlotte Hornets,126,Box Score,,0,2:15,Spectrum Center,
Sat Jan 30 2021,8:00p,Sacramento Kings,104,Miami Heat,105,Box Score,,0,2:13,AmericanAirlines Arena,
Sat Jan 30 2021,8:00p,Houston Rockets,126,New Orleans Pelicans,112,Box Score,,1440,2:08,Smoothie King Center,
Sat Jan 30 2021,8:30p,Los Angeles Lakers,96,Boston Celtics,95,Box Score,,0,2:08,TD Garden,
Sat Jan 30 2021,8:30p,Memphis Grizzlies,129,San Antonio Spurs,112,Box Score,,0,2:09,AT&T Center,
Sat Jan 30 2021,9:00p,Phoenix Suns,111,Dallas Mavericks,105,Box Score,,0,2:12,American Airlines Center,
Sat Jan 30 2021,10:00p,Detroit Pistons,91,Golden State Warriors,118,Box Score,,0,2:04,Chase Center,
Sun Jan 31 2021,1:00p,Los Angeles Clippers,129,New York Knicks,115,Box Score,,0,2:15,Madison Square Garden (IV),
Sun Jan 31 2021,3:30p,Utah Jazz,117,Denver Nuggets,128,Box Score,,0,2:18,Ball Arena,
Sun Jan 31 2021,7:00p,Philadelphia 76ers,119,Indiana Pacers,110,Box Score,,0,2:19,Bankers Life Fieldhouse,
