Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Mar 25 2021,8:30p,Los Angeles Clippers,98,San Antonio Spurs,85,Box Score,,3225,2:04,AT&T Center,
Thu Mar 25 2021,10:00p,Philadelphia 76ers,109,Los Angeles Lakers,101,Box Score,,0,2:29,STAPLES Center,
Thu Mar 25 2021,10:00p,Golden State Warriors,119,Sacramento Kings,141,Box Score,,0,2:02,Golden 1 Center,
Fri Mar 26 2021,7:00p,Brooklyn Nets,113,Detroit Pistons,111,Box Score,,750,2:39,Little Caesars Arena,
Fri Mar 26 2021,7:30p,Boston Celtics,122,Milwaukee Bucks,114,Box Score,,3280,2:10,Fiserv Forum,
Fri Mar 26 2021,7:30p,Phoenix Suns,104,Toronto Raptors,100,Box Score,,0,2:04,Amalie Arena,
Fri Mar 26 2021,8:00p,Miami Heat,105,Charlotte Hornets,110,Box Score,,4215,2:27,Spectrum Center,
Fri Mar 26 2021,8:00p,Houston Rockets,101,Minnesota Timberwolves,107,Box Score,,0,2:10,Target Center,
Fri Mar 26 2021,8:00p,Denver Nuggets,113,New Orleans Pelicans,108,Box Score,,3700,2:06,Smoothie King Center,
Fri Mar 26 2021,8:00p,Portland Trail Blazers,112,Orlando Magic,105,Box Score,,3827,2:08,Amway Center,
Fri Mar 26 2021,8:30p,Indiana Pacers,109,Dallas Mavericks,94,Box Score,,4132,2:07,American Airlines Center,
Fri Mar 26 2021,9:00p,Memphis Grizzlies,114,Utah Jazz,117,Box Score,,5546,2:10,Vivint Smart Home Arena,
Fri Mar 26 2021,10:00p,Atlanta Hawks,124,Golden State Warriors,108,Box Score,,0,2:10,Chase Center,
Fri Mar 26 2021,10:30p,Cleveland Cavaliers,86,Los Angeles Lakers,100,Box Score,,0,2:17,STAPLES Center,
Sat Mar 27 2021,8:00p,New York Knicks,102,Milwaukee Bucks,96,Box Score,,3280,2:10,Fiserv Forum,
Sat Mar 27 2021,8:00p,Houston Rockets,129,Minnesota Timberwolves,107,Box Score,,0,2:07,Target Center,
Sat Mar 27 2021,8:00p,Detroit Pistons,92,Washington Wizards,106,Box Score,,0,2:03,Capital One Arena,
Sat Mar 27 2021,8:30p,Chicago Bulls,104,San Antonio Spurs,120,Box Score,,3334,2:07,AT&T Center,
Sat Mar 27 2021,9:00p,Dallas Mavericks,103,New Orleans Pelicans,112,Box Score,,3700,2:19,Smoothie King Center,
Sat Mar 27 2021,9:00p,Boston Celtics,111,Oklahoma City Thunder,94,Box Score,,0,2:03,Chesapeake Energy Arena,
Sat Mar 27 2021,9:00p,Memphis Grizzlies,110,Utah Jazz,126,Box Score,,5546,2:09,Vivint Smart Home Arena,
Sat Mar 27 2021,10:00p,Philadelphia 76ers,112,Los Angeles Clippers,122,Box Score,,0,2:17,STAPLES Center,
Sat Mar 27 2021,10:00p,Cleveland Cavaliers,98,Sacramento Kings,100,Box Score,,0,2:16,Golden 1 Center,
Sun Mar 28 2021,1:00p,Phoenix Suns,101,Charlotte Hornets,97,Box Score,OT,3850,2:37,Spectrum Center,
Sun Mar 28 2021,7:00p,Portland Trail Blazers,122,Toronto Raptors,117,Box Score,,2021,2:24,Amalie Arena,
Sun Mar 28 2021,9:00p,Atlanta Hawks,102,Denver Nuggets,126,Box Score,,0,1:59,Ball Arena,
Sun Mar 28 2021,10:00p,Orlando Magic,93,Los Angeles Lakers,96,Box Score,,0,2:11,STAPLES Center,
Mon Mar 29 2021,7:00p,Indiana Pacers,124,Washington Wizards,132,Box Score,,0,2:21,Capital One Arena,
Mon Mar 29 2021,7:30p,New Orleans Pelicans,115,Boston Celtics,109,Box Score,,2298,2:23,TD Garden,
Mon Mar 29 2021,7:30p,Minnesota Timberwolves,107,Brooklyn Nets,112,Box Score,,1732,2:11,Barclays Center,
Mon Mar 29 2021,7:30p,Miami Heat,98,New York Knicks,88,Box Score,,1981,2:11,Madison Square Garden (IV),
Mon Mar 29 2021,8:00p,Toronto Raptors,104,Detroit Pistons,118,Box Score,,750,2:17,Little Caesars Arena,
Mon Mar 29 2021,8:00p,Memphis Grizzlies,120,Houston Rockets,110,Box Score,,3319,2:15,Toyota Center,
Mon Mar 29 2021,8:00p,Dallas Mavericks,127,Oklahoma City Thunder,106,Box Score,,0,2:02,Chesapeake Energy Arena,
Mon Mar 29 2021,8:30p,Sacramento Kings,132,San Antonio Spurs,115,Box Score,,2876,2:09,AT&T Center,
Mon Mar 29 2021,9:00p,Cleveland Cavaliers,75,Utah Jazz,114,Box Score,,5546,2:04,Vivint Smart Home Arena,
